document	label
헐 얼굴이 못 알아보겠슈	8
"생긴것도 사이비 저런건 태형으로 다스려야 되는데"	1
"더불어불륜당 답다!"	2
"저게미 치 ㄴ여ㄴ이지아들딸들은뭐하나"	3
"짱개한테 한마디좀 하라니까 또 세금쓸 궁리하고있네~"	0
"돈 몇푼 벌겠다고 나간 정신나간 노친네들이더만 뭘"	4
"진정 사이비 탑은 대깨문 이다"	2
"이넘도 김치년 만나서 인생조졌네"	0,3
"이런OOO들 20대가 무슨 유아도아니고 ㅋㅋㅋ 기고만장하네"	8
윤시윤 연기 대박 잘하네 ..기대됨	8
"달.'창 매국노 씨.'2발년들은 아가리 싸물어 제발"	2,3
여기서 몰아가는 댓글 달았다고 뭐라하는 놈들 지들도 아까까지만해도 식당 욕했으면서 태세 전환하지마라 나도 식당욕했던 사람이다	8
결혼하지마요 ㅋㅋㅋㅋ	8
"손순실이 당장 국정조사하고 정밀 세무조사 들어가라 아니면 국민들 또 촛불든다"	8
"일본사람 말은 안듣습니다"	8
결코 하지 않았다...이건 사실인 듯 하네요	8
제각긔있긔였긔때문이긔사랑했긔때문이긔하루지긔야긔야긔 ㅋㅋㅋㅋ	8
"다 늙어빠진 것을, 성추행 할 사람이 어디 잇다고."	4
틀딱이랑 아가들 젖꼭지물리자입 못 열게	4
제일 악질이 취중 몰래 녹취다. 취중진담?	8
"군산꼴 난다 잘 생각하고 덤벼라 군산 유령도시다 야들은 현대 기아가 아니다"	0
이제훈 닮았는데 훨씬 잘생김. 이제훈은 솔직히 얼굴만보면 흔한 얼굴인데	8
"쿵쾅이 몰려와서 저 교수한테도 역하겠지?"	1,5
지코랄도 조사받아야지!!	8
ㅉㅉ 지네들 인스타 뒤져서 다른사람 나오기만 해봐라	8
"순자야 너는 턱주거리 생긴데로 논다 참 자식들 봐라 하나 같이 모지리들 ㅋㅋ"	1
"대한이란 말 정말 쓰지마라. 쪽바리항공이라 바꿔라~"	0
조교는 178cm 이상 안닌가? 요즘은 작아도 뽑나보네	8
증거를 보이고 말을 하시오	8
"ㅋㅋㅋ 박빠 틀딱모아서 대권 해보려던 홍준표 죽쒀서 개주게 생겼네"	4
멋있다♡	8
"꼴깝을떤다 조선족짱께 전라도 민좃당 세키ㅉㅉ"	0,3
"괴뢰 중공으로 수출을 전면 중단하라"	0
정우성 ㅋ 김제동이랑 동급됫네 에라OOO야	8
얼굴이 엄청 부담스럽다 휴~~	1
잘 가고 수지야 너 빨아주던 척했던 여자들 이제 다 니 적이다	8
저런짓 한넘은 실명공개해야지	8
"마침 문재인하야 전단지가 장바구니에 있어요? ㅋㅋ 진짜 코메디네 ㅋㅋ"	8
소현경(작가) 이 가족 없는 년...	3
다 판검사 드라마아님? 만만한게 판검이라하지만 데충 계산해도 5개? 딴나라사람들이 보면 울나라 9급공무윈인줄.	8
헐 발이왜저래진짜못 생겼다	1
"이것도 개네 아님 돼지든가 그거도 아님 쥐새끼든가"	8
도박한 여자는 예전에는 사형이야. 어디서 여자가 도박에 발을 대?? 세상 많이 좋아졌네	5
후진국 거지떼 짱깨들이 어찌 살던 알게 뭐임?ㅋㅋㅋ 미세먼지나 쳐 날리지 마라 해충 새끼들아	0,3
유재석 거품.. 예능 이새끼가 다말아먹음.. 퇴물..	3
ㅋㅋㅋㅋㅋㅋ정화는 무슨 스폰이나 좀 미투에 올려라	8
"으 쪽바리 어디서 배워먹은 버르장머리냐 쓰레기집단 일본놈들"	0
조만간 소녀시대같은 걸그룹 내보내겠지. 원래 스엠이 초대박치다가 잠깐 잠잠할때가 있음. H.O.T, S.E.S., 신화때도 주력으로 쭈욱 나가다가 한동안 살짝 잠잠...하다가 동방신기 나오고 다시 초대박 히트치고 또 잠시 쉬다가 소녀시대 나오고 한 거잖아. 엑소가 남그룹으로 해먹었으니 이제 소녀시대급 걸그룹 나와서 장악할듯	8
"생긴것 봐라 권모 술수.협작꾼 생긴게 쥐새끼"	1,3
정말 꼴보기 싫은 연애인. 웃기지도 않고 목소리도 싫고 드럽게 못생기고 건방짐.	1
"한국인인게 부끄럽다 이시국에 저러고 싶을까 제정신인지"	0
역시 개인의 힘으로 거대 권력을 이기긴 힘들구나!! 조선일보와 기타등등의 승리다!	8
"그럼 나이든 늙은 계집은 뭐라 불러야하냐 ㅋㅋ 조만간 이것도 미투하겠네"	5
둘 사이에 태어난 아이는 무슨 죄인지.	8
살인자역 맡겼다가 진짜 살인낼 놈일세	8
이x민 : ㅆ...ㅂ.....	3
양현석 다시보게 되었는데 그래도 저번에 빅뱅은5명 이란 발언은 좀 별로였다...빅뱅은 4명이지 이제	8
왜 피디까지 공개젓으로 때리고 다른거라면 덮고 갈수 있으려만....	8
"아오 갈곳없는젊은이들 많다 다 나와라 그냥"	8
성재가눈이있지!잰 진짜아니자나?좀그럴싸한애로 갖다붙혀랏	8
오공이.. 손오공분장해도 넘멋있을거같은데 분장하고 좀 했음 더 좋았을듯..몬가 허전해ㅎㅎ	8
tvn가서 유돈노로 새예능 만들자.	8
잼 없어요.. 뚱땡이 나와서 역 겨워요..걍 폐지 하세요 ^^	1
김종국 인간이 미련해 보임	8
"문재인은 사형이것다..조국도 임종석도.."	2
얘는 여자땜에 인생이 참 골치아프네...	8
"도대체가 페미하는 애들은 얼굴이 왜저러냐...멀쩡하고 이쁜애중에 페미 못봣다.."	1,5
이필봇씨 매력 터졌어요~ 묵언수행 로봇일과를 살리는 우리 나혼자산다팀도 최고!!	8
"신천지 신천지 아ㅈ고만좀 제발!!"	8
김진우?? 정용화 인줄 알았네...둘이 닮았네	8
"충전기 꽂아두고 커파 처마시러 가는 한녀는 어떻고?"	0,5
왜 이렇게까지 해서 세월호를 비난하고자 하는거냐? 도대체 누구짓이냐?	8
"개마이 찌라시는 왜 ? 타이틀에 주구장창 올리지? 네이버 운영자가 전라도여?"	0
종교는 개인의 자유다, 뭐라 할 권리 1도 없음... 나도 성경에 대해서 배우곤 싶지만, 어느 한 종교, 종파에 얽메이긴 싫었다, 서로 배척하는것도 싫고,, 신이 있다곤 믿지만, 성경은 사람이 만들었다고 생각한다, 각 종교도 결국 사람이 만든것들, 그중 성경에 대한 해석이 달라지면서 종파가 나뉘어 지는 건데,,그 중 개인의 이익을 위해 사기를 치는 사람도 있지만..여튼 성경엔 너무 좋은 말들이 많고, 배울게 많은게 사실이다, 난 박진영이 무교라는게 이해된다, 개인의 자유를 침해하지 말자	8
걍 이제 kpop이랑 일본이랑 연끊자	8
사람들이 왜 욕해요..?	8
극장서 공포영화는 그닥 땡기지는 않는데 한번 봐야겠군	8
똑같은 년넘들이란 생각밖에 안든다 지지건 볶건 니들끼리 알아서해라 지겹다	3
"아 . 코로나는 코로 나오면 낙선이는 절라도에 나와야지 왜 종로에 나오냐?"	8
네 다음 아줌마 ㅋㅋ	8
"felo/ 메퇘지새끼 열폭하네 ㅋ 그 손가락으로 자판이 쳐지냐?"	1,3
"재앙민국 세컨드 보이콧 직전에 중국 18핑이 짱개했네ㅋㅋ"	0,3
쟤가 뭐라고 3년 공을 들여? 공중파가 죄다 참 문재앙스럽네	2
"정말 늙어서 왜 저런 추태냐.. 그냥 일본 가서 살아라"	4
"일본이 미쳐돌아가는 건 하루이틀이 아니라 이해가 가지만 국내 토착왜구들은 이해가 안간다"	2
"아니 ㅅㅂ 오징어썩은내나는 그게 뭐가좋다고 저깟년들한테 돈을써"	1,3
불편러 새기들 ㅈㄴ 많네 니들도 꼬우면 연예인해	3
이 놈의 미투가 아주 나라를 망치는구나ㅉㅉ	8
"문재앙 축폭망!! 저시키 언제 정신 차리냐?? 어직도 핵돼지 비서질 하고 자빠졌노"	2,3
"니 주둥이가 더 추잡하다. 명절에 욕이 쳐 먹어라 홍어 쓰레기야"	0
트렌드 짱,,	8
"생긴대로 노네 뭐만한게.."	1
방탄소년단 워너원 동시컴백	8
오죽하면 꼴떼. 무늬만 한국기업, 실체는 쪽바리 기업! 롯데는 미투운동 안하나?	0
"게이들의 반란 무섭다...."	8
박보검 교회검색^_^	8
지안이 도경이 제발 이어져서 집안반대 같이 이겨내자	8
윤아가 나이도 더 많은데..지금 선배라고 깝치는 거니??	8
남성 댓글이 76퍼인뎈ㅋㅋㅋㅋㅋ 여자들이 욕했다고 ㅈㄷㅈㄷ 중이네 사스가 여혐민국 ⫬	5
문슬람들 이명박 아들이랑 억지로라도 엮으려 했는데 실패해서 심술났네ㅋㅋ	2
얘를 궁금해 하는 사람도 있네 ㅋ	8
머슴 같이 생겨 가지고 에구 ㅠㅠ	8
판빙빙닮음	8
요즘은 짱깨 센징 커플이 대세임?	0
자막과 연출이 최고네요ㅎㅎㅎ	8
"ㅋㅋ닭그네년이 안 한일을 문재인 정부가 지금 다 하는건데 무슨 말도 아닌 소리야"	2,3
"반일집회하는 달창들 죄다 쉰내나는 노인네들이더라 달창들 정체가 틀딱 빨갱이들이었음"	2,4
오피스텔에서 침대로 끌고가 신체접촉,노래방에서 후배위자세로 여자잡고 춤 추고,여대생 가슴만지며 가슴이 생각보다 작네라고 말함 또 연기강습받을 때 많은 학생들이 있는 자리에서 니는 가슴이 작으니까 뽕을 넣고 연기해라는 등의 성적희롱도 수시로 했으며 캠퍼스커플보고 서로 관계 가졌나고 물어보기도 했다함.유명배우가 저 짓을 7년동안 했음에도 안알려지고 묻혔다는 건 연예계가 우리가 생각하는 것 이상으로 더럽다는 것과 증언쏟아지기전 용기내 폭로한 여학생보고 꽃뱀이라 단정지은 베플들을 보며 한국은 여전히 피해자가 고통받는 세상이라는 걸 알게 됨	8
"페미년들 쿵쾅대는것도 너무 징그러워서 19금 걸어야 돼~~"	1,3
"전라도 신안 미성년자편인가"	8
"중국사람들이 왜 우리나라 대학에서 행패야?"	8
"그만 좀 설쳐라..돼지 뇬아"	1,3
여기 댓글에 새로 발탁된 디제이들 팬들이 공감 누르고 있네ㅋㅋㅋㅋ	8
불의의 사고만 아니였어도ㅜㅠ 그립습니다...	8
간만에 깔깔대고 웃었네~ 다시시작해서 반가워요	8
복없게 생기긴 했어	1
"사회악=신천지=코로나=불지옥"	7
조이는 어디갓냐? 가수가 드라마찍느라 노래못하클라스 ㅎㅎ	8
"우릴물로보는 니홍징아베를 그냥두면 안되죠 국제적기강을 바로잡읍시다!!!"	8
한남충들은 여자가 자기주장강하고 똑똑하면 매장하기바쁘지... 왜냐면 맨날 업소가서 유흥알바 미성년자들이랑 놀다보니 여자가 사람으로 보이겠냐?여자는 어리고 이쁘고 애교많음 장땡이라고 생각하는 꼰대 아저씨들이 담배피며 얼마나 갑질들을 할지...ㅉㅉ	4,5
꽃할배도 해주세요 ㅠㅠ대리만족되고 좋았는데아쉬워요	8
대한민국 힙합=허세 쎈척 남들은 다 찌끄러기.누가보면 슬럼가 거주하면서 범죄전과 10범정도는 되보이는 언행,행동거지를 보이지만 현실은...왜 음악의 바탕이되는 코드가 저딴거밖에 없나모르겠다.내가 힙합에 큰관심이없는것도 한몫하는거겠지만 저런모습밖에 안보여주는데 왜 관심을 보여야되는지도모르겠음.막말로 공중파나오는 가수한테 언더부심 부리는것도 어처구니없고	0
그런짓 하지말고 집에서 혼자 자위로 해결하세요 남에게 피해주지말고	8
"일본은 세계의 암덩어리 같다"	0
"니 등뼈로 만들어라"	8
손예진의 멜로는 늘 옳아요ㅋ	8
"자유당에선 40대도 청년인가보다. 틀딱뿐이니"	2,4
"맘충들을 여편네라고한건 매우 예의있는 표현이네 나같으면 OOO들이라고 햇을텐데"	5
저 못 생긴 얼굴 언제까지 봐야되냐?	1
고소영 한참 어릴때는 좀 싸가지없는 인상이라 비호감이었는데 나이드니까 미모가 부티나게 빛을 발하는 것 같음	8
"아줌마들좀 인터넷좀하지마세요 ㅋㅋ 애들밥이나제대로챙겨주는지몰라 ㅋㅋ"	5
"10.0초대형지진과 쓰나미가 조만간 쪽바리나라에 상륙할것이다 이것이 하늘의 심판이다"	0
"멍청이통령때문에 국민들이 개고생"	2
보검이 효리네랑 다음작품 시너지 됐음 좋겠다^^~	8
인간은 원래 배부른 돼지여 많은걸 가져도 욕심땜에 우울타고 그런거여~	8
같은 노래같지만다른 부분도 많이 있다모방도 창조임	8
VMC가 예능에?? 앜ㅋㅋㅋ되게 신선하다	8
"이단들이 판치는 세상이네...😑😑😑"	7
김은숙 작가 작품 본 사람은 알겠지만 작은 캐릭터 하나 허투루 쓰는 법이 없는데... 지금의 김사랑도 시크릿가든 덕이 크고... 아무리 건강상이라지만 그냥 하는 편이 낫지 않았나 아쉬울 뿐.	8
그래서 천러가 뭔데 씹덕아	3
이래서 시골놈들 돈좀 생기면 세상무서운줄 모르고 나대다 한순간에 훅간 좋은 예 입니다	0
주영훈 부부가 경솔했던건 맞는데 댓글들 인신공격 너무심각하네...이러다 한가족 몰살시키겄어 좀 자중하자 본인들도 지금 엄청 후회하고있겠다	8
치아라 !!!	8
"꺼저라 짱깨 새끼야"	0,3
"돼지 여기 오면 맞아죽을거라는거 문빨도 알긴 아는구나"	8
예능도 망 드라마도 망 다 망이네	8
"그렇세 절대 못하는 이유는 운동권 틀딱들중에 전과자 천지라서 못함 ㅋㅋ"	4
"종북좌빨 문제인간들 빨기 도 넘은 경향신문."	2
저런 찌라시 안나오게 하자라고 의견 붙이는 게 더 나은 발언아닌가요 ? 감당해야할 무게라뇨. 이 기사 쓴 기자님 지금 이 곳의 댓글들은 당신이 기자로써 당연히 감당해야할 무게인가요? 무게라 치곤 껍데기만 가득한 허상 같군요. 기자로써 감당해야할 무게보다 당신의 글솜씨 때문에 져야할 짐 같네요. 댓글이 이렇다, 다수가 이런 내용이다란 걸 깨달으시면 제발 애꿎은 연예인에 대해서 시시껄렁한 소재로 부풀려서 오해하게 글 쓰지 마시길 바라요	8
게이가 하는 요리가 입에 들어가냐?	5
"또 남자탓이지? 개c같c은냔c들 ㅉㅉㅉ"	3
"신천지왜케많이 잇니?"	8
"전광훈 그 새끼는 사이비지 ""사랑제일교회"" 들어 가 보면... 배경이 저거야"	3
첫번째 사진 포샵어플..티가 ㅋ	8
"댓적은거 30 40이냐? ㅋㅋ 20 30 싸잡아욕하네"	8
모텔로 데려갔다면 두발로 걸어드간거네 ㅋㅋ	8
조선인들의 냄비근성을 확인할수있는 양준일인기 ㅋㅋ	8
"사이비cub야 기독교좀그만팔아먹어라 🖕나팔아먹어"	7
정치권에서 뭐 하나 큰게 터지려나 미리 물타기 준비하네	8
그땐어렷어여자들 질투는 구더기보다 더징그럽다는걸새삼느낀다	5
"민주당 + 전라도 = 대한민국 망치는 환상으 조합인가?"	0,2
떡집?ㅋㅋㅋ	8
"얼굴이 딱,민낯이네.우리는 어찌사누.정은이 싫타.핵이고는 못살겠다아"	8
살쪄두잘생겨버리네용ㅋㅋ!	8
에혀...이런일이수면위로 올라와서그렇지 여중 여고 다닐때 선생한테 희롱한번 안당한여자가 몇이나될까	8
예슬이가 씹는 껌이 5천만원인데. 장난하냐? 지금 병원에 누워있지 않고 활동하면, 하루만에도 벌 돈이다.	8
매번 치명적인척 하는것도 역겹다. 그 형사님땜에 꾸역 참고봤음	8
니 엄마도 강원에 산다며 언제 철들래 ~ 나이를 어디로 처먹은거야	4
"와우 스바 틀딱들의 큰형님 또라이푸 ㅋㅋㅋ"	4
솔직히 너무 거칠게 나오고 그게좋다하니 일부로 그러는거같아 별로 보기싫다 내개인생각	8
"응 전라도 홍어라고 왜 말을 못해?ㅋㅋ"	0
언어폭력이랑 신체폭력이랑 같냐고	8
그래서 더멋진 재이블랙 이군요~~~^^인제잘됬으니 축하해요~~^^	8
십년전엔 뭐하다가 이제 얘기하누?	8
9one퐈	8
누나 정말정말 아름다우세요!	8
연인 부부란 관계로 드라마출연들도자제히는데 니들도이젠 나산다에서그만하차해라	8
"전라도에서도 반대한다...무슨 조사가 계속 거짓말이냐?"	8
여자들은 도대체 뭐가이렇게 꼬인거냐? 댓글이..	5
나 같은 드럽고 아니꼬아서 협회장 자리 때려치것다	8
하니형ㅋㅋㅋ 내숭없어서 좋드라	8
"쌍꺼풀없이 처지고 눈두덩이가 두꺼움. 저것들 다 똑같은 관상"	8
짱깨!!!	0
"보릿고개 타령하는거보니 잇몸 문드러진 틀.ㅣ딱새기군"	3,4
아진짜 ㅡㅋㅋㅋㅋㅋㅋㅋ조새호 이런식으로 웃기기있냐?ㅋㅋㅋ개웃기다진짜 ㅋㅋㅋ	8
"똥 묻은 개 겨 묻은 개 나무란다. 여기 잔뜩 있네 ㅉㅉ"	8
우리형돈이형 까지마 샛기들아	3
예리랑 고종현이랑 연인관계임???	8
이런곳들 편집하지말고 엿먹으라고 방송내보내고 재방송도 해버려요 ㅋㅋ 망해봐야 알아요 ㅋㅋ	8
박훈변호사 좀 이상해	8
조 나 찌질 결혼했냐?강간했냐? 별거도 아닌 바람핀거로	3
"메퇘지가 또오~ ㅋ😅"	1,5
"박원순 아부지.문재인 아부지.조기숙 아부지.신기남 아부지.토착왜구"	2
"자기네가좋아서 결혼하는데..왠외모지적??니면상까고 애기해라"	8
이런 경찰에 수사권주자는 조국과 문재앙 클라스	2
"문재인정권은 빨리 탄핵되어야한다 없는 서민들을 더궁지로몰아간다"	8
"빨갱이들 부들부들."	2
아이린보다 설현이 예쁜데	8
여자는 빤스를저렇게 잘벗어야 출세하지	7
응 인성아 끊어 ^^	8
"생긴거봐라 개역겹네 ㅋㅋ 하는짓도 싫지만 생긴것도 엿같네 캬악퉵"	1,3
근데 박나래 너무 들러붙더라..헤니가 불편해하는게 눈에 보이던데.. 이거 남녀바뀌었으면 절대 못하지	8
"좃됐네 무릎꿇고 사과해라는거지 문재앙 참 잘해요 나라망치는게 주특기네"	2,3
"이윤택 피해자 변호인단 측, ""곽도원 녹취록? 이에 관해 말하지 않겠다"" 이미 끝난 게임"	8
고현정 없는 리턴 망해라	8
그래 얼굴이 잘생긴 얼굴이야.... 관리를 안해서 그렇지...	8
고현정도 낼모레 50이니까 은퇴하고 방송국도 드라마 접어라	4
젓살이 뭐냐 젓살이..	8
송혜교 유전자가 아깝다 딸이든 아들이든 낳아서 송혜교 얼굴만 닮으면.인생살기행복할텐데...	8
"신천지인지 아니가?"	8
"도끼로 조사버리고싶은 면상이네 ㅋㅋ 콱 그냥!!"	1
"이수근 나무위키 보고 와라 도박 + 음주운전 + @"	8
일간베스트 폐쇄된다면서요	8
남자가 잘생겼고 여자 후달리는데	8
"발정제가 필요하나 보네요."	8
18 남자를 박았다는거야 여자를 박았다는거야	3
터키 페네르바체 궁금하냐? ㅋㅋ 터키리그 순위 1위 엑자시바 17승 1패, 2위 바키프방크 16승 2패, 3위 페네르바체 15승 3패 ~ 앞으로 엑자시바시, 바키프방크와 2연전~ 그럼 2패 추가해서 5패 되겠네 ㅋㅋㅋ 4위 갈라타사라이한테 역전되겠다~ 식빵 언니없으니까 바키와 엑자한테 밥이되었어~	8
여자들무서워서살겠나.	8
많이 늙으셨네. 아는 얼굴이 나이 든 모습을 보는 건 언제나 기분이 이상하다.	8
나는 아직도 행복한척 이라는 노래가 수지노래중에 최고인거 같다그노래 하면서 박진영식 디스코를팔을 흔들면서 쳤으면대박이였을텐데	8
뭘방송하던 방송국 맘이지 개미들 생각해주겠나 좌빨채널이 ㅋ	2
"수령동지께서 문통 비서에게 ㅡ 혼자말여 누가 함께 들었는가.. 믿을수가 없네"	2
육지담은 진심이 담겨있는 눈망울을 가지고 있는 순수녀 당신을 응원합니당	8
ㅋㅋ니가 둘사이에 대해서 뭘 안다고 나부리냐 아무도 모르는게 남녀관곈데	8
이새끼 성차별 같은건 장난에 불과할만큼 알아주는 인종차별주의자임 !! 멋도모르고 이놈영화 거의다봤는데...알고부터는 안봄 ! 우리동양인한테는 진짜 더러운 새끼임!	3
촌시러... 왜 유명인일까 질리게 생겼는데	1
한국당 나경원의원만큼 깨끗한 정치인이 없다 나의원을 지켜라	8
"저 작자를 대구 신천지 예배당에 방치해 두는건 어떨지..."	8
비호감인거 뻔히 알면서 방송에 왜 쓰는지 이해가 안간다.	8
재밌었는데 운동할때 이대호 정색하는거보고 그럼그렇지란 생각들더라..예능이니깐 저렇지 대놓고 니가 제대로 안하니깐 늦게끝나잖아 하고 인상찌푸리고..이거 예능으로볼수없는게 진심이 느껴졌다	8
강호동 이수근은..?	8
"못생긴 만큼 꼴값하네 ㅋㅋ 너보다는 위인이다. 국회의원 자격도 없는 국개년"	1,3
뭘 해도 저렇게 찌질해 보이기가 참 쉽지 않은데..	8
"문재앙 이팩트.. 이번에 망하면 다시는 극복 못한다..."	2
"전라도에 보내면되겟네 특히 신안같은곳"	8
"북괴, 짱깨 두 놈 다 개작살 나길 빈다"	0
하여튼 남편들이 문제라니까 ㅋㅋ	5
머리 바리깡으러 싹 밀고싶다 아휴 답답해 남자시끼가 머리가 저게 뭐야	3,5
저번에 룸메이튼가 어디서 방송중에 졸음운전하디만 이번엔 누구 안태우고 혼자타고 다치네	8
"쿵쾅이들 몰려와서 화력 오지노!! 20대댓글이 대부분인거 처음봤다 이말이야"	1,5
7년차면..몰래 바람 한번 났을법도 한데...물론 제 개인적인생각.	8
벌래 구데기 새끼 아직도 한국에 있어?	3
누가 시집가것냐?? 좌빨 거짓말 쟁이 놈을	2
쇼쟁이 문재인탄핵해요! 박그네때가 차라리 볼만한방송도 많았고 재밌었음.문재인탄핵대찬성	2
노처녀 상폐녀들 부들부들 열폭중ㅋㅋㅋㅋㅋㅋ애잔하다 애잔해ㅋㅋㅋㅋㅋㅋㅋ	4,5
노산을 노산이라고하지 뭐라고 하냐?ㅎㅎ20대 이팔청춘도 아니면서...	8
"줄순 년놈들 얼굴좀 보자"	3
마약쟁이가 좋다고 기다리는 미친 여자들이 많내	5
존못이다	1
그니까 강다니엘이랑 사귄건 팩트임?	8
"ㅈㄹ 염 병하네 뻘게이 ㅅ ㅐ 퀴"	2,3
"문가놈들은 김일성한테 성 하사받았냐? 족족 북괴 대변인짓들 하내"	2
저 얼굴을 하고 ...ㅜㅜ	8
"한국교회..목사들 문제가 많다..신도들도 멍청하다"	0,7
잉꼬는 원앙의 일본말이라 잉꼬부부보다는 원앙부부라 쓰는 것이 좋겠습니다. 두 분 좋아요. 나오신다니 좋네요. 기대됩니다!	8
MC 더럽게 못보고 노잼이고 총체적 난국 ㅋㅋ	8
중국가서 댁박나세요 티아라^^!	8
자작곡 말고 곡좀받아서 나왔으면 좋겟다 자작곡이랍시고 들거나오는거는 영 별로	8
"이제 대한민국 틀딱 다되었네."	4
댓글 꼬라지 왜 이따위냐	8
"이해한다. 오죽하면 ㅉㅉ 기레기새끼년들은 참수가 답이다"	0,3
공 소 시 효 끝	8
"페미는 탈코해서 가로쉬 와꾸뿐이거든요"	5
웃기고 있네편집본이었으면 며칠간 기다렸겠냐?	8
박진희 딱이라 생각했었는데 난 뭐후임으로 욕도한적없고 당연할수있지 생각했는데 어제 결정짓는다더니 오늘도 또이런기사보니 임신도했고 드라마내용도 좀 쎄니 그냥 안하시는게 나을듯..사람들도 어이없게 욕하고있고하니.,	8
이병재가 조혼나 멋있는거였다 배워라 문돼지	1
"민주당이 만지면 쇼고 그외에 여자를 만지면 성추행인 내로남불 법대로 가자"	2
윤건 목소리 겁나 좋은데 너무 아끼는거 아닌가요? 노래 많이 불러주세요~~	8
남자는 머리빨이라는게 다 헛소리네 그냥 얼굴빨임 머리깎아도 훤칠하고 잘생기기만 했음	8
"역시 또라이 민족이군."	0
"추하다 너무늙으면 구태로 국민들이 여기니 어쩔수 없다 내려놓아야"	4
걍 투피엠준호닮았는데 거기에 김수현 약간 섞인 ㅇㅇ	8
김생민은 용서하자	8
정신없는 녀ㄴ이네. 생각이 없어.	3
"끝까지 가즈아~~ 쪽빠리 게 앂샛이들~~"	0,3
와 저건 반대로 이창민이 저 여자 고소해야됨	8
인간사 사랑 빼면 뭐 있을까만새끼줄도 아니고 그만 엮어라 ㅡ	8
목숨은 군대 가서 걸어라	8
수목중엔 이종석이 젤받을만했고 월화가 남궁민한테 엄기준이밀림 남궁민 양쪽에서받음	8
이젠 아줌마 다됐네.... 나이가 벌써 ㅎㄷㄷㄷ 시간빠르다 x맨때 꼬맹이였는데	8
"문뻥이를 만나는 공산권정상들은 한결같히 문텡이 뒤통수치네."	2
국방의무 안하는 사람은 귀국 못하게 해라	8
뭐~얼마나 대단하다고 저 난리인지...	8
"문재인!김정은 똘마니! 왜 어디가는겨? 국민들 나몰라라~"	2
잼있을것같아요	8
"한경엔 틀딱새퀴들 천지네."	3,4
쓰레기 기자들이 판을 치고있네요	0
"회가 목구녕으로 넘어 가디?"	8
"중국만이 차단한다고 하는데,,,,, 재인의 중국사랑은 끝이 없어요"	2
왜 홍자매가 니들한테 돈달래? 왜들 지랄소리니	8
"친일은 민주당것들이 훠~~~씬 많다. 이 틀딱꼰대좌빨아 ㅋㅋㅋ 알바한다고 욕본다.ㅋㅋㅋ"	2,4
코랑 팔자주름 입 땡기다가 아주 코 뼈티어나오것다	1
"미 친려ㅡㄴ 쪽바리 OOO같이 생겨 처먹어가지고 좋아하게생겼네 엄청 잘하게생긴런"	0,1,3
"야 돼지야 니가해 뜨벌 놈 ~아 아무리 니 밑에 수석 대변 이지만 넘 갑질이 심하네"	8
임신 가능함?	8
연예인 타이틀 떼고 보면 그냥 이쁘장한데 평범하게생긴 흔녀라고 나만생각하나	8
"좌파 독재시대 도래한다 ------------조심해라"	8
이거는 배용준이 소속사 팔아서 생긴 역대급 망작	8
기대~~♡	8
고아라 인가.. 살이 마이 쪘네..	8
에휴 지금이 어느 시대인데	8
실제 감빵에서처럼 해야지 수박 겉핡기....그리고 출연지 전원 교체....그래떠....만 출연확정시킴....	8
유인촌이 완장차고 영화 시 개막점준 거 어쩌 잊으리오.	8
햐 ..진짜 우리나라가 얼마나 개ㅈ호구로 보였으면 저럴까 ㅠㅠㅠ	3
뒷모습 공개면서 무슨 대단한일이라고..그냥 조용히 키우시길 이런거 찔끔찔끔 노출하지말고	8
"니 마음이 못난게!!!니가 못생긴게 나는 더 섬뜩하다 ㄷㄷㄷ"	1
쪽바리 Otu....	0
정부의 감추기는 이제 지겹다 신재민 물타기 하려고 난리도 아니구나	2
"기독교는 동성애 안됨을 말하지 못하는 신학교가 신학교?"	8
"예수 믿으라는 개소리는 또 뭐냐 ? 너나 믿어라 개독 극혐"	7
"좌빨시민단체 아직도 주둥아리 아닥중 만약 야당에서 이래으면 고소 고발하였겠지"	2
부도수표 국밥배우 발연서 그만 좀 보고 싶다	8
맘충들 장난아닙니다	5
"서해안 섬 하나 선택해서. 무인도 주거 시설 병원 후딱 설치하고 그리로"	8
사실 통닭 아재가 바로..........두둥!!	8
"정치하고 싶어서 벌렁벌렁 하냐?"	8
"남자가 레깅스 입고 중요 부위 티나게 다니면 과연 여자들은 뭐랄까?"	8
형 1억만 주라. 발가락이라도 쪽쪽 빨아줄게.	8
"메갈메걀 어찌하면 좋노. 니들 때문에 고생하신분들이 아무의미가 없어졌다. 메갈페미충"	5
"ㅋㅋ 그래 깜빵이나 들어가자 새꺄 물론 느그 문죄앙이랑 손잡고~"	2,3
나보다 낫네 ㅋㅋㅋ 여편네들이 말이야.	8
저년들이 더나이들면 된장녀 맘충 테크타는거지	3
"전라도사람들은 제발 전라도끼리 살아라 같은공간에 숨쉬는게 부담스럽다"	0
김태희는 그리 잘나가두 기부한소식 못들었네	8
장재인 이뇬아 작작해라 그만큼 개망신 줬으면 됐지 왜케 끈질기게 질척거려.	3
"쪽바리 구속되고 쪽바리기업 폐업하구 너무 안타깝지않네요 꺼졍"	0
나보다 나이는 어리지만 존경합니다.. 병아리 매니저님ㅋ	8
이승기 표정 귀여워 ㅋㅋ	8
한혜진 점점 이뻐진다 ㅎㅎㅎㅎ 전현무도 밉상에서 호감형이고 이쁜연예 하시길	8
